Daily Time,Age,Area Income,Daily Internet Usage,Ad Topic Line,City,Male,Country,Timestamp,Clicked on Ad
43.49,37,58235.21,195.69,Managed client-server access,Sarafurt,1,Australia,04-04-2016 20:01,0
54.88,40,73941.91,139.02,Distributed leadingedge orchestration,West Gregburgh,0,Greece,03-07-2016 04:11,0
51.38,46,40468.53,193.29,Customer-focused optimizing moderator,Lake Evantown,0,Belgium,03-06-2016 21:43,1
43.84,36,50628.31,133.9,Upgradable optimizing toolset,Youngfort,1,Guinea,22-04-2016 00:28,1
81.98,22,41547.62,210.87,Focused coherent success,Sarahland,0,United States of America,30-01-2016 16:15,0
76.2,33,41547.62,204.02,Diverse modular interface,New Thomas,1,Niger,03-02-2016 15:15,0
54.37,24,52252.91,182.2,Up-sized bifurcated capability,West Ricardo,0,Algeria,03-03-2016 22:31,0
41.73,28,71222.4,217.37,Down-sized bandwidth-monitored core,West Joseph,0,Gabon,04-05-2016 12:06,0
68.11,26,74903.41,228.78,Stand-alone eco-centric system engine,East Kevinbury,1,Bosnia and Herzegovina,01-01-2016 15:14,1
62.26,36,32549.95,115.26,Synergized coherent interface,Lake Patrick,1,Netherlands Antilles,04-04-2016 11:39,0
56.34,40,62669.59,122.59,Upgradable optimizing toolset,South Walter,1,Ethiopia,08-05-2016 10:25,0
66.26,28,38067.08,180.47,Networked impactful framework,Lake Gerald,0,Gabon,15-02-2016 16:52,0
51.24,36,61610.05,140.46,Up-sized incremental encryption,New Rebecca,0,El Salvador,03-01-2016 16:01,1
56.16,30,33293.78,228.81,Total 5thgeneration standardization,Kristinfurt,0,Cameroon,09-03-2016 06:22,0
62.42,29,69646.35,190.12,Managed client-server access,Evansfurt,1,Israel,09-02-2016 05:28,0
55.6,31,58235.21,207.17,Optional full-range projection,East Connie,1,Hong Kong,18-01-2016 02:51,0
55.6,35,42993.48,225.58,Total cohesive moratorium,Wrightburgh,0,Myanmar,18-07-2016 01:36,0
39.3,29,69718.19,208.05,Front-line bandwidth-monitored capacity,Johnstad,0,Burundi,09-03-2016 00:41,0
55.6,35,73889.99,226.54,Optional multi-state hardware,Lake Nicole,1,Niger,02-07-2016 20:23,0
71.33,36,38067.08,140.46,Face-to-face analyzing encryption,North Randy,0,Sweden,26-02-2016 19:48,0
34.3,34,34191.23,168.34,Cloned explicit middleware,Kingshire,1,Equatorial Guinea,11-03-2016 00:05,0
61.22,25,50723.67,241.03,Proactive bandwidth-monitored policy,Nelsonfurt,1,Hong Kong,07-04-2016 15:18,0
36.73,28,71222.4,217.37,Realigned intangible benchmark,Reyesfurt,0,Gabon,05-05-2016 09:28,0
82.07,48,52736.33,123.13,Integrated coherent pricing structure,Burgessside,1,Turkey,17-07-2016 01:13,1
55.6,24,52252.91,182.2,Decentralized real-time circuit,West James,0,Kazakhstan,31-03-2016 20:55,0
68.01,33,43974.49,159.77,Expanded modular application,Silvaton,0,Greece,27-02-2016 20:20,1
77.14,33,43974.49,135.67,Customer-focused fault-tolerant implementation,Taylorhaven,1,Afghanistan,24-03-2016 06:36,1
